CZ,CZ Name,State,Children in 1980-82 Cohorts,"AM, 80-82 Cohort","RM, 80-82 Cohort","P(Child in Q5 | Parent in Q1), 80-85 Cohort","AM, College Attendance","RM, College Attendance","AM, Teenage birth","RM, Teenage birth","AM, Females","RM, Females","AM, Males","RM, Males","AM, Males, Individual Income","RM, Males, Individual Income","AM, Cost of Living Adjusted","RM, Cost of Living Adjusted","AM, 2011-2012 Parent Income","RM, 2011-2012, Parent Income","AM, Single Parents","RM, Single Parents","AM, Married Parents","RM, Married Parents","AM, 83-85 Cohort"," RM, 83-85 Cohort","AM, 80-85 Cohort","RM, 80-85 Cohort","AM, %White>80%  ZIPs","RM, %White>80% ZIPs","AM, Poverty Line","RM, Poverty Line","AM, College Quality","RM, College Quality"
100,Johnson City,TN,"18,494",38.4,0.372,0.062,33.7,0.875,23.1,-0.311,40,0.382,36.8,0.362,40.4,0.342,40,0.358,38.9,0.331,36.7,0.359,39.4,0.353,40,0.349,39.2,0.359,38.4,0.372,66.6,0.402,35.1,0.207
200,Morristown,TN,"7,760",37.8,0.356,0.054,32.7,0.775,27.2,-0.339,38.8,0.374,36.8,0.338,40.4,0.315,39.4,0.35,38,0.334,36.5,0.353,38.6,0.339,39.4,0.371,38.6,0.362,37.8,0.356,65.3,0.439,34.7,0.169
301,Middlesborough,TN,"2,217",39,0.376,0.073,41,0.68,23.2,-0.261,41.3,0.369,36.8,0.381,40.6,0.349,41,0.355,37.8,0.349,35.5,0.318,40.2,0.355,40,0.352,39.5,0.362,39.1,0.375,65,0.483,36.1,0.158
302,Knoxville,TN,"23,805",37.8,0.373,0.056,32.4,0.857,25,-0.329,39.6,0.374,36.1,0.371,39.7,0.343,39.2,0.365,38.6,0.343,35.9,0.348,39.2,0.35,39.5,0.33,38.7,0.35,38.7,0.358,65.6,0.397,34.8,0.208
401,Winston-Salem,NC,"16,103",37,0.389,0.045,43,0.737,26.3,-0.356,38.8,0.397,35.1,0.383,38.8,0.358,37.6,0.382,39,0.354,34.6,0.389,40.3,0.328,38.2,0.359,37.6,0.373,39.7,0.357,66.1,0.388,38.1,0.202
402,Martinsville,VA,"3,269",37.3,0.423,0.052,36.6,0.858,26.5,-0.389,38.6,0.424,36,0.421,39.9,0.403,37.8,0.403,38.5,0.368,34.5,0.342,39.6,0.38,38.7,0.399,38,0.41,39.3,0.429,67.4,0.438,36.8,0.245
500,Greensboro,NC,"33,788",36.5,0.395,0.047,39.7,0.767,25.9,-0.33,38.4,0.398,34.6,0.392,38.7,0.369,37,0.39,38.1,0.365,34.2,0.35,39.5,0.343,38.1,0.359,37.3,0.376,38.8,0.364,66.1,0.398,37.2,0.207
601,North Wilkesboro,NC,"2,958",38.3,0.389,0.052,38.3,0.805,24.9,-0.292,40.7,0.391,36.1,0.385,37.9,0.347,39.5,0.373,39.4,0.361,37.1,0.394,39.2,0.371,40.7,0.346,39.5,0.366,38.3,0.389,66.9,0.439,36.6,0.206
602,Galax,VA,"1,877",40.8,0.413,0.08,35.3,0.825,21.3,-0.251,42.6,0.386,39.1,0.439,40.9,0.424,41.7,0.401,41.5,0.357,39.8,0.518,41.9,0.376,43.3,0.36,42.1,0.384,40.7,0.413,69.5,0.473,37.3,0.229
700,Spartanburg,SC,"12,280",36.4,0.404,0.043,36,0.787,29.9,-0.37,37.7,0.42,35.1,0.384,39.8,0.353,37.3,0.4,38.3,0.355,33.9,0.367,39.5,0.347,38.7,0.366,37.6,0.384,38.2,0.38,67.7,0.39,36.1,0.199
